d,w
65,23
65,137
65,45
65,224
65,19
65,142
65,109
65,39
65,99
65,70
65,248
65,104
65,103
65,102
65,35
66,38
66,22
66,200
66,44
66,16
66,17
66,18
66,19
66,21
66,69
66,25
66,24
66,98
66,120
66,109
66,35
66,104
66,102
66,68
66,15
66,100
66,23
66,51
66,34
66,99
66,134
66,27
66,55
66,150
66,208
66,224
66,45
66,46
67,132
67,14
67,20
67,24
67,98
67,114
67,146
67,186
67,5
67,4
67,157
67,175
67,158
67,2
67,42
68,164
68,100
68,170
68,125
68,44
68,55
68,27
68,16
68,134
68,26
68,25
68,23
68,22
68,169
68,21
68,18
68,206
68,34
68,127
68,126
68,70
68,248
68,243
68,51
68,172
68,19
68,17
69,163
69,20
69,120
69,114
69,98
69,22
69,21
69,51
69,47
69,46
69,45
69,278
69,33
69,276
69,147
69,14
69,42
70,207
70,17
70,16
70,218
70,98
70,55
70,18
70,202
70,19
70,219
70,203
70,208
70,42
70,204
70,38
70,70
70,34
71,23
71,24
71,25
71,48
71,225
71,27
71,55
71,69
71,26
71,22
71,18
71,20
71,63
71,100
71,49
71,50
71,52
71,53
71,21
71,14
71,60
71,11
71,10
71,16
71,17
71,61
71,19
71,15
71,98
72,25
72,156
72,22
72,16
72,17
72,18
72,33
72,55
72,125
72,134
72,26
72,27
72,21
72,98
72,24
72,163
72,23
72,69
72,19
72,206
73,46
73,49
73,50
73,51
73,52
73,53
73,288
73,18
73,17
73,16
73,15
73,35
73,256
73,41
73,19
73,45
73,124
73,100
73,42
73,22
73,69
73,23
73,21
73,98
73,114
73,34
73,24
74,212
74,49
74,52
74,211
74,32
74,31
74,30
74,178
74,114
74,50
74,98
74,42
74,220
74,34
74,25
74,79
74,20
74,206
74,19
74,14
74,54
75,20
75,14
75,271
75,194
75,263
75,262
75,261
75,139
75,21
75,24
75,42
75,114
75,193
75,98
76,44
76,166
76,171
76,279
76,119
76,120
76,55
76,123
76,30
76,173
76,121
76,34
76,276
76,278
76,50
76,197
76,24
76,98
76,25
76,26
76,114
76,33
76,42
76,53
76,52
76,19
76,51
76,46
76,45
76,200
76,38
76,35
76,282
76,122
76,280
76,41
76,49
77,163
77,54
77,25
77,16
77,188
77,26
77,55
77,120
77,33
77,278
77,279
77,24
77,44
77,42
77,69
77,22
77,21
77,19
77,18
77,98
77,14
77,282
77,66
78,45
78,98
78,25
78,24
78,69
78,22
78,21
78,19
78,18
78,276
78,16
78,15
78,227
78,42
78,34
78,185
78,55
78,46
78,68
78,119
78,120
78,121
78,38
78,184
78,183
78,63
78,33
78,206
78,254
78,253
78,281
78,267
78,266
78,122
78,20
78,279
78,278
78,39
78,138
78,48
78,49
78,23
78,14
78,53
78,52
78,51
78,50
79,142
79,55
79,203
79,153
79,143
79,58
79,66
79,44
79,15
79,68
79,129
79,20
79,149
79,53
79,69
79,30
79,31
79,32
79,137
79,102
79,103
79,104
79,34
79,148
79,52
79,50
79,49
79,152
79,62
79,23
79,24
79,139
79,35
79,109
79,71
79,194
79,99
79,144
79,45
79,46
79,33
79,51
79,16
79,17
79,18
79,19
79,98
79,21
79,172
79,22
79,25
79,63
79,248
79,70
79,48
79,151
79,218
80,18
80,52
80,17
80,16
80,15
80,243
80,79
80,19
80,134
80,125
80,49
80,205
80,50
80,22
81,59
81,16
81,17
81,18
81,21
81,22
81,24
81,25
81,26
81,19
81,228
81,100
81,54
81,123
81,45
81,46
81,51
82,205
82,18
82,17
82,16
82,53
82,52
82,50
82,49
82,48
82,14
82,20
82,22
82,34
82,23
82,24
82,98
82,25
82,55
82,42
82,191
82,264
82,265
82,128
82,121
82,21
82,258
82,19
82,272
82,154
82,140
82,143
82,153
82,38
82,27
82,250
82,194
82,271
82,249
82,261
82,139
82,193
82,70
82,248
82,26
82,120
82,127
82,262
82,45
82,263
82,51
82,225
82,46
82,28
83,54
83,44
83,24
83,98
83,100
83,34
83,41
83,42
83,15
83,16
83,151
83,14
83,55
83,200
83,21
83,114
83,124
83,143
83,153
83,20
84,42
84,114
84,98
84,24
84,21
84,18
84,20
84,14
85,200
85,13
85,45
85,46
85,51
85,50
85,20
